id,name,cat_id,category,sub_cat_id,subcategory,four_letter,four_letter_total_voted,enneagram,enneagram_total_voted,socionics,socionics_total_voted,instinctual_variant,instinctual_variant_total_voted,tritype,tritype_total_voted,temperaments,temperaments_total_voted,attitudinal_psyche,attitudinal_psyche_total_voted,big_5_SLOAN,big_5_SLOAN_total_voted,classic_jungian,classic_jungian_total_voted,letter_1,letter_1_percentage,letter_2,letter_2_percentage,letter_3,letter_3_percentage,letter_4,letter_4_percentage
376,Derek Jeter,5,Sports,11,Baseball,ISTJ,44,3w4,18,LSE,4,so/sp,6,316,3,Choleric-Phlegmatic,2,,0,,0,,0,I,0.7,S,0.95,T,0.84,J,0.73
31023,Ichiro Suzuki,5,Sports,11,Baseball,ISTP,35,1w9,17,LSI,10,sp/sx,9,153,10,Phlegmatic [Dominant],6,FLEV,3,RCOEN,5,IS(T),2,I,1.0,S,0.97,T,0.97,P,0.74
25299,Trevor Bauer,5,Sports,11,Baseball,ENTP,42,8w7,24,ILE,8,sx/sp,9,854,13,Sanguine-Choleric,10,VLEF,2,SCOEI,3,EN(T),1,E,0.62,N,0.95,T,0.95,P,0.98
40744,Zack Greinke,5,Sports,11,Baseball,INTP,31,5w6,16,ILI,1,sp/sx,3,358,5,Phlegmatic [Dominant],5,,0,RCUEI,2,,0,I,1.0,N,0.97,T,1.0,P,0.81
6611,Babe Ruth,5,Sports,11,Baseball,ESTP,26,8w7,8,SLE,6,so/sx,3,873,3,Choleric-Sanguine,3,,0,,0,ES(F),1,E,0.96,S,0.92,T,0.92,P,0.96
87393,Shohei Ohtani,5,Sports,11,Baseball,ISFP,55,9w1,25,SEI,7,sp/so,10,963,13,Phlegmatic-Sanguine,7,VFEL,4,RCOEI,6,IF(S),1,I,0.89,S,0.69,F,0.73,P,0.45
377,"Alex Rodriguez ""A-Rod""",5,Sports,11,Baseball,ESTP,23,3w4,7,SEE,1,so/sx,2,387,3,Sanguine-Choleric,2,,0,,0,,0,E,1.0,S,0.87,T,0.74,P,0.83
10139,Ty Cobb,5,Sports,11,Baseball,ESTP,20,8w7,10,SLE,2,sp/sx,2,863,3,Choleric [Dominant],3,,0,SCOEN,2,,0,E,1.0,S,0.95,T,1.0,P,0.85
378,Barry Bonds,5,Sports,11,Baseball,ISTP,16,8w9,10,SLE,1,sp/sx,5,836,5,Choleric-Phlegmatic,2,,0,RCUEN,1,,0,I,0.94,S,1.0,T,1.0,P,1.0
10143,Bryce Harper,5,Sports,11,Baseball,ESTP,14,8w7,7,SEE,3,sx/so,3,837,4,Choleric-Sanguine,2,VLFE,1,RCOEI,1,,0,E,1.0,S,1.0,T,0.79,P,0.86
10141,Yogi Berra,5,Sports,11,Baseball,ISTP,15,7w8,5,SLE,4,sp/sx,2,783,4,Sanguine-Phlegmatic,1,,0,,0,,0,I,0.8,S,0.67,T,0.93,P,1.0
65862,Ted Williams,5,Sports,11,Baseball,ISTP,13,5w6,7,ILI,2,sp/sx,1,538,1,Melancholic-Phlegmatic,1,,0,RCUEI,1,,0,I,1.0,S,0.69,T,1.0,P,0.77
5368,Mike Trout,5,Sports,11,Baseball,ISTJ,15,6w5,3,ESI,2,sp/so,2,631,2,,0,,0,,0,,0,I,1.0,S,1.0,T,1.0,J,0.93
23258,Jackie Robinson,5,Sports,11,Baseball,ISTP,14,1w2,5,LSI,3,sp/so,3,135,3,Phlegmatic [Dominant],1,LVFE,1,RCOAN,2,IT(S),1,I,0.93,S,1.0,T,0.86,P,0.93
380,Curt Schilling,5,Sports,11,Baseball,ESTJ,11,3w4,4,SLE,1,sx/so,1,386,2,Choleric [Dominant],1,,0,,0,,0,E,1.0,S,0.91,T,1.0,J,0.91
18527,"David ""Big Papi"" Ortiz",5,Sports,11,Baseball,ESFP,11,7w8,3,SEE,1,sx/so,1,783,1,Sanguine-Choleric,1,,0,,0,,0,E,1.0,S,1.0,F,1.0,P,0.82
5369,Clayton Kershaw,5,Sports,11,Baseball,ESFJ,11,2w3,4,ESE,3,sp/so,2,217,3,,0,,0,,0,,0,E,0.91,S,1.0,F,1.0,J,0.91
18408,Jose Canseco,5,Sports,11,Baseball,ESTP,9,6w7,3,SLE,2,sx/so,1,683,1,,0,,0,,0,,0,E,1.0,S,1.0,T,1.0,P,1.0
18524,Randy Johnson,5,Sports,11,Baseball,ISTP,10,8w9,3,LSI,1,sx/sp,1,835,1,,0,,0,,0,,0,I,1.0,S,0.8,T,1.0,P,0.8
57006,Jose Altuve,5,Sports,11,Baseball,ESFP,11,7w6,6,SEE,1,sx/so,1,731,1,Sanguine-Melancholic,2,,0,,0,,0,E,0.91,S,1.0,F,0.73,P,0.82
65824,Tony La Russa,5,Sports,11,Baseball,ENTJ,10,8w7,10,SLE,1,sp/sx,3,853,2,,0,,0,,0,,0,E,0.6,N,1.0,T,1.0,J,1.0
379,Mark McGwire,5,Sports,11,Baseball,ISTJ,9,6w5,1,,0,,0,,0,,0,,0,,0,,0,I,1.0,S,1.0,T,1.0,J,1.0
20047,Ken Griffey Jr.,5,Sports,11,Baseball,ISFJ,9,3w2,3,SEI,3,sp/so,3,396,2,Sanguine [Dominant],2,EVFL,1,SCUAI,2,,0,I,0.67,S,1.0,F,1.0,J,0.89
62004,Giancarlo Stanton,5,Sports,11,Baseball,ISTP,11,8w9,5,LSI,1,sx/so,2,863,2,Choleric-Melancholic,2,,0,,0,,0,I,0.73,S,1.0,T,0.91,P,1.0
63322,Andrew McCutchen,5,Sports,11,Baseball,ENFP,9,6w7,4,IEE,1,so/sx,1,639,1,Sanguine-Melancholic,1,,0,,0,,0,E,1.0,N,1.0,F,0.67,P,1.0
65849,Joe DiMaggio,5,Sports,11,Baseball,ISTP,10,3w4,4,SLE,3,sx/sp,1,,0,Choleric [Dominant],1,,0,,0,,0,I,0.5,S,0.9,T,1.0,P,0.6
18526,Pedro Martinez,5,Sports,11,Baseball,ESFP,8,7w8,3,SEE,1,so/sx,1,739,1,,0,,0,,0,,0,E,1.0,S,1.0,F,1.0,P,1.0
64986,Alex Cora,5,Sports,11,Baseball,INTJ,4,1w9,1,LSI,1,sp/sx,1,,0,,0,,0,,0,,0,I,1.0,N,0.5,T,1.0,J,1.0
71677,Yu Darvish,5,Sports,11,Baseball,ISFP,12,6w7,8,ESI,5,sp/sx,3,378,5,Choleric-Phlegmatic,2,FVEL,2,RCOAN,2,ET(N),2,I,0.5,S,0.67,F,0.58,P,0.67
110979,Munenori Kawasaki,5,Sports,11,Baseball,ESFP,10,7w6,4,,0,sx/so,2,729,2,Sanguine [Dominant],2,,0,,0,,0,E,1.0,S,0.7,F,0.9,P,1.0
10140,Carlton Fisk,5,Sports,11,Baseball,ENTJ,7,8w7,6,SLE,3,sp/so,3,836,1,Choleric [Dominant],1,VFLE,1,SCOEI,1,,0,E,1.0,N,0.71,T,1.0,J,1.0
18525,Greg Maddux,5,Sports,11,Baseball,INTJ,8,1w2,2,ILI,1,sp/so,1,,0,,0,,0,,0,,0,I,1.0,N,1.0,T,1.0,J,1.0
57637,Miguel Cabrera,5,Sports,11,Baseball,ESFP,8,8w9,6,SEE,2,sp/sx,2,874,1,,0,,0,,0,,0,E,1.0,S,1.0,F,0.88,P,0.88
62001,Joe Girardi,5,Sports,11,Baseball,ESTJ,7,8w7,6,SLE,4,sp/so,3,836,2,,0,,0,,0,,0,E,1.0,S,0.71,T,1.0,J,1.0
63315,Max Scherzer,5,Sports,11,Baseball,ENTP,9,8w7,6,SLE,2,sp/so,4,853,3,Choleric-Phlegmatic,4,,0,SLUEI,1,,0,E,1.0,N,0.89,T,1.0,P,0.89
64201,Juan Soto,5,Sports,11,Baseball,ISFJ,8,9w1,3,,0,so/sp,2,963,2,Sanguine-Choleric,1,,0,,0,,0,I,0.5,S,1.0,F,0.88,J,0.88
66120,Josh Donaldson,5,Sports,11,Baseball,ESFP,10,3w4,3,SEE,1,sx/so,2,387,3,Choleric [Dominant],1,,0,,0,,0,E,1.0,S,1.0,F,0.5,P,0.9
10144,Yadier Molina,5,Sports,11,Baseball,ESTJ,6,6w5,5,,0,sp/sx,2,683,1,Choleric [Dominant],2,,0,,0,,0,E,0.67,S,1.0,T,1.0,J,0.67
18528,Manny Machado,5,Sports,11,Baseball,ESTP,5,8w7,2,SLE,2,sx/so,2,837,2,Choleric-Sanguine,2,,0,,0,,0,E,1.0,S,1.0,T,1.0,P,1.0
18529,Mike Piazza,5,Sports,11,Baseball,ISTP,6,6w5,1,LSI,1,sp/so,1,631,1,,0,,0,,0,,0,I,1.0,S,1.0,T,1.0,P,1.0
57107,Nolan Arenado,5,Sports,11,Baseball,ENTJ,6,8w7,5,SLE,1,sx/so,2,837,2,Choleric [Dominant],1,,0,,0,,0,E,1.0,N,0.5,T,0.83,J,0.83
57634,Albert Pujols,5,Sports,11,Baseball,ISTP,6,9w8,3,SLI,1,sp/sx,1,953,1,Phlegmatic-Choleric,1,,0,,0,,0,I,0.83,S,1.0,T,0.83,P,0.83
62003,Aaron Judge,5,Sports,11,Baseball,ISFP,6,9w1,4,SEI,1,so/sp,2,937,2,Sanguine-Phlegmatic,2,,0,,0,,0,I,1.0,S,1.0,F,1.0,P,1.0
62018,Manny Ramirez,5,Sports,11,Baseball,ENFP,8,7w8,1,SEE,1,sx/so,1,738,1,,0,,0,,0,,0,E,0.75,N,0.62,F,1.0,P,1.0
63695,Cody Bellinger,5,Sports,11,Baseball,ISFP,6,3w2,3,ESI,2,sp/so,1,379,1,Sanguine-Melancholic,1,,0,,0,,0,I,0.67,S,1.0,F,1.0,P,1.0
70284,Aroldis Chapman,5,Sports,11,Baseball,ISFP,6,9w8,3,ESI,1,sx/sp,1,946,1,,0,,0,,0,,0,I,1.0,S,1.0,F,0.67,P,1.0
70965,Bo Jackson,5,Sports,11,Baseball,ISTJ,5,8w9,3,,0,sp/sx,2,837,1,Choleric-Sanguine,1,,0,,0,,0,I,0.8,S,1.0,T,0.8,J,0.6
72832,Fernando Tatís Jr.,5,Sports,11,Baseball,ESFP,6,7w8,2,SEE,2,sx/so,1,748,2,Sanguine-Choleric,1,,0,,0,,0,E,0.83,S,1.0,F,0.83,P,1.0
73860,Masahiro Tanaka,5,Sports,11,Baseball,ISFP,6,9w8,4,SEI,2,sx/sp,3,964,2,Melancholic-Phlegmatic,1,,0,,0,,0,I,0.83,S,1.0,F,0.83,P,1.0
95998,Buster Posey,5,Sports,11,Baseball,ISFJ,6,1w2,2,,0,sp/so,2,126,2,Phlegmatic-Melancholic,1,LVFE,1,RCOAN,1,,0,I,1.0,S,0.67,F,1.0,J,1.0
10142,Willie Mays,5,Sports,11,Baseball,ISTP,5,9w8,1,,0,sp/sx,1,963,1,,0,,0,,0,,0,I,1.0,S,1.0,T,1.0,P,1.0
65939,Javier Báez,5,Sports,11,Baseball,ESTP,6,7w8,2,,0,so/sp,2,738,2,,0,,0,,0,,0,E,1.0,S,1.0,T,0.83,P,1.0
67805,Chris Sale,5,Sports,11,Baseball,ISFJ,6,9w8,1,SEI,1,sp/so,1,,0,,0,,0,,0,,0,I,1.0,S,0.83,F,0.83,J,1.0
70279,Ronald Acuña Jr.,5,Sports,11,Baseball,ESFP,6,4w3,4,SEE,2,sp/so,2,496,1,Sanguine [Dominant],1,,0,,0,,0,E,1.0,S,0.83,F,0.83,P,0.83
71079,Christian Yelich,5,Sports,11,Baseball,ESFP,5,3w2,1,SEE,1,sp/so,1,379,1,,0,,0,,0,,0,E,1.0,S,1.0,F,1.0,P,1.0
96166,Sammy Sosa,5,Sports,11,Baseball,ESFP,5,3w4,3,SEE,1,,0,,0,,0,,0,,0,,0,E,1.0,S,1.0,F,1.0,P,1.0
110967,Kenta Maeda,5,Sports,11,Baseball,ISTP,5,1w9,2,LSI,1,,0,154,1,,0,,0,,0,,0,I,0.6,S,1.0,T,0.8,P,0.8
111888,Hyun-Jin Ryu,5,Sports,11,Baseball,ISFP,5,6w7,1,,0,,0,,0,,0,,0,,0,,0,I,0.8,S,1.0,F,0.6,P,1.0
434727,Billy Beane,5,Sports,11,Baseball,ENTP,5,3w4,3,,0,sx/so,1,,0,,0,,0,,0,,0,E,1.0,N,1.0,T,0.8,P,1.0
57004,Madison Bumgarner,5,Sports,11,Baseball,ISTP,4,9w8,1,SLI,1,sp/sx,1,946,1,Phlegmatic-Melancholic,1,,0,,0,,0,I,1.0,S,1.0,T,1.0,P,1.0
57357,Nolan Ryan,5,Sports,11,Baseball,ESTJ,4,8w9,3,,0,sp/sx,1,835,1,Choleric-Phlegmatic,1,,0,,0,,0,E,1.0,S,0.75,T,1.0,J,1.0
64835,Lou Piniella,5,Sports,11,Baseball,ESTJ,4,8w7,4,SLE,1,sx/so,2,836,2,Choleric-Sanguine,1,,0,,0,,0,E,1.0,S,0.75,T,1.0,J,1.0
64987,Roger Clemens,5,Sports,11,Baseball,ESTP,4,8w9,2,SLE,2,so/sp,2,836,1,,0,,0,,0,,0,E,1.0,S,1.0,T,1.0,P,1.0
65044,Gerrit Cole,5,Sports,11,Baseball,ISTP,4,6w5,2,LSI,2,sp/so,1,683,1,,0,,0,,0,,0,I,1.0,S,1.0,T,0.75,P,1.0
65850,Mickey Mantle,5,Sports,11,Baseball,ESTP,4,8w7,3,SLE,2,sp/so,2,837,2,,0,,0,,0,,0,E,1.0,S,1.0,T,1.0,P,1.0
70983,Anthony Rendón,5,Sports,11,Baseball,ISTP,4,9w8,3,,0,sp/so,1,964,1,,0,,0,,0,,0,I,1.0,S,1.0,T,0.75,P,1.0
71078,George Brett,5,Sports,11,Baseball,ESTJ,5,3w4,5,LSE,2,sx/so,2,386,1,,0,,0,,0,,0,E,1.0,S,1.0,T,1.0,J,0.6
73151,Pete Rose,5,Sports,11,Baseball,ESTJ,4,6w7,3,LSE,1,,0,683,1,,0,,0,,0,,0,E,1.0,S,1.0,T,1.0,J,0.75
74339,A.J. Pierzynski,5,Sports,11,Baseball,ESTJ,4,8w7,2,SLE,1,sx/so,1,836,1,Choleric [Dominant],1,VLFE,1,,0,,0,E,1.0,S,1.0,T,1.0,J,0.75
93199,Trea Turner,5,Sports,11,Baseball,ISFP,4,9w1,2,,0,sp/so,1,,0,,0,,0,,0,,0,I,1.0,S,1.0,F,1.0,P,1.0
107332,D.J. LeMahieu,5,Sports,11,Baseball,ISTJ,4,6w5,2,SLI,1,sp/so,1,692,2,,0,,0,,0,,0,I,1.0,S,0.75,T,1.0,J,0.75
108682,Curtis Granderson,5,Sports,11,Baseball,ENFJ,4,2w3,1,EIE,2,,0,,0,,0,,0,,0,,0,E,1.0,N,1.0,F,1.0,J,1.0
